facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Amravati,8.5,2.0,3.0,Yes,450.0,4.0,2026-08-01
F002,Nagpur,7.2,3.5,4.0,Yes,620.0,7.0,2026-08-02
F003,Pune,9.1,1.5,2.0,Yes,850.0,3.0,2026-08-03
F004,Mumbai,6.4,5.5,6.0,No,1200.0,15.0,2026-08-03
F005,Nashik,7.8,3.0,4.0,Yes,540.0,6.0,2026-08-04
F006,Amravati,5.5,6.5,7.0,No,380.0,12.0,2026-08-04
F007,Nagpur,8.9,2.0,2.5,Yes,710.0,4.0,2026-08-05
F008,Pune,7.0,4.0,5.0,Yes,900.0,9.0,2026-08-05
F009,Mumbai,4.8,8.0,8.5,No,1500.0,22.0,2026-08-06
F010,Nashik,8.2,2.5,3.0,Yes,600.0,5.0,2026-08-06
F011,Amravati,7.5,3.0,4.0,Yes,470.0,6.0,2026-08-07
F012,Nagpur,6.8,5.0,6.0,No,680.0,11.0,2026-08-07
F013,Pune,9.3,1.0,1.5,Yes,1050.0,2.0,2026-08-08
F014,Mumbai,5.9,6.0,7.0,No,1300.0,18.0,2026-08-08
F015,Nashik,7.1,4.0,5.0,Yes,580.0,8.0,2026-08-09
F016,Amravati,8.0,2.5,3.5,Yes,510.0,5.0,2026-08-09
F017,Nagpur,6.2,5.5,6.5,No,730.0,13.0,2026-08-10
F018,Pune,8.7,2.0,2.0,Yes,980.0,4.0,2026-08-10
F019,Mumbai,5.1,7.0,8.0,No,1400.0,20.0,2026-08-11
F020,Nashik,7.9,3.0,4.0,Yes,650.0,6.0,2026-08-11
F021,Amravati,7.5,4.0,5.0,Yes,490.0,7.0,2026-08-12
F022,Nagpur,7.4,3.5,4.5,Yes,700.0,8.0,2026-08-12
F023,Unknown,8.6,2.0,3.0,Yes,880.0,4.0,2026-08-13
F024,Mumbai,6.0,5.0,4.0,No,1250.0,16.0,2026-08-13
F025,Nashik,7.3,3.5,4.0,Yes,610.0,7.0,2026-08-14
F026,Amravati,8.1,2.5,3.0,Yes,710.0,5.0,2026-08-14
F027,Nagpur,6.9,4.5,5.5,No,690.0,6.0,2026-08-15
F029,Mumbai,7.5,6.0,7.0,No,1350.0,19.0,2026-08-16
F030,Nashik,7.5,3.0,4.0,Yes,590.0,6.0,2026-08-16
F031,Amravati,7.6,3.5,4.0,Yes,520.0,5.0,2026-08-17
F032,Nagpur,6.5,3.5,6.0,No,720.0,12.0,2026-08-17
F033,Pune,8.8,2.0,4.0,Yes,950.0,4.0,2026-08-18
F034,Mumbai,5.5,7.0,4.0,No,1450.0,21.0,2026-08-18
F035,Nashik,7.7,3.5,4.5,Yes,630.0,7.0,2026-08-19
F036,Amravati,8.3,2.0,3.0,Yes,710.0,4.0,2026-08-19
F037,Nagpur,6.7,5.0,6.0,No,750.0,6.0,2026-08-20
F039,Mumbai,5.8,6.5,7.5,No,5000.0,25.0,2026-08-21
F040,Nashik,7.4,3.5,4.0,Yes,640.0,6.0,2026-08-21
F041,Amravati,8.4,2.0,3.0,Yes,530.0,5.0,2026-08-22
F042,Nagpur,6.3,5.5,6.5,No,760.0,14.0,2026-08-22
F043,Pune,8.9,1.8,2.5,Yes,1020.0,4.0,2026-08-23
F044,Mumbai,5.0,7.5,8.0,No,1380.0,23.0,2026-08-23
F045,Nashik,7.6,3.2,4.2,Yes,620.0,7.0,2026-08-24
F046,Amravati,8.5,2.0,3.0,Yes,450.0,4.0,2026-08-01
F047,Nagpur,7.1,4.0,5.0,Yes,680.0,9.0,2026-08-25
F048,Pune,9.4,1.0,1.5,Yes,1150.0,2.0,2026-08-25
F049,Mumbai,4.5,8.5,9.0,No,1600.0,28.0,2026-08-26
F050,Nashik,7.8,3.0,4.0,Yes,610.0,6.0,2026-08-26
