facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,risk_score,hygiene_risk
F001,Amravati,8.5,2.0,3.0,Yes,450.0,4.0,2026-08-01,7.3,LOW
F002,Nagpur,7.2,3.5,4.0,Yes,620.0,7.0,2026-08-02,11.700000000000001,MEDIUM
F003,Pune,9.1,1.5,2.0,Yes,850.0,3.0,2026-08-03,5.0,LOW
F004,Mumbai,6.4,5.5,6.0,No,1200.0,15.0,2026-08-03,21.1,HIGH
F005,Nashik,7.8,3.0,4.0,Yes,540.0,6.0,2026-08-04,10.399999999999999,MEDIUM
F006,Amravati,5.5,6.5,7.0,No,380.0,12.0,2026-08-04,23.4,HIGH
F007,Nagpur,8.9,2.0,2.5,Yes,710.0,4.0,2026-08-05,6.3999999999999995,LOW
F008,Pune,7.0,4.0,5.0,Yes,900.0,9.0,2026-08-05,13.8,MEDIUM
F009,Mumbai,4.8,8.0,8.5,No,1500.0,22.0,2026-08-06,29.1,HIGH
F010,Nashik,8.2,2.5,3.0,Yes,600.0,5.0,2026-08-06,8.3,LOW
F011,Amravati,7.5,3.0,4.0,Yes,470.0,6.0,2026-08-07,10.7,MEDIUM
F012,Nagpur,6.8,5.0,6.0,No,680.0,11.0,2026-08-07,19.4,HIGH
F013,Pune,9.3,1.0,1.5,Yes,1050.0,2.0,2026-08-08,3.599999999999999,LOW
F014,Mumbai,5.9,6.0,7.0,No,1300.0,18.0,2026-08-08,23.700000000000003,HIGH
F015,Nashik,7.1,4.0,5.0,Yes,580.0,8.0,2026-08-09,13.5,MEDIUM
F016,Amravati,8.0,2.5,3.5,Yes,510.0,5.0,2026-08-09,9.0,LOW
F017,Nagpur,6.2,5.5,6.5,No,730.0,13.0,2026-08-10,21.400000000000002,HIGH
F018,Pune,8.7,2.0,2.0,Yes,980.0,4.0,2026-08-10,6.1000000000000005,LOW
F019,Mumbai,5.1,7.0,8.0,No,1400.0,20.0,2026-08-11,26.9,HIGH
F020,Nashik,7.9,3.0,4.0,Yes,650.0,6.0,2026-08-11,10.299999999999999,MEDIUM
F021,Amravati,7.5,4.0,5.0,Yes,490.0,7.0,2026-08-12,12.9,MEDIUM
F022,Nagpur,7.4,3.5,4.5,Yes,700.0,8.0,2026-08-12,12.2,MEDIUM
F023,Unknown,8.6,2.0,3.0,Yes,880.0,4.0,2026-08-13,7.2,LOW
F024,Mumbai,6.0,5.0,4.0,No,1250.0,16.0,2026-08-13,19.2,HIGH
F025,Nashik,7.3,3.5,4.0,Yes,610.0,7.0,2026-08-14,11.6,MEDIUM
F026,Amravati,8.1,2.5,3.0,Yes,710.0,5.0,2026-08-14,8.4,LOW
F027,Nagpur,6.9,4.5,5.5,No,690.0,6.0,2026-08-15,17.299999999999997,HIGH
F029,Mumbai,7.5,6.0,7.0,No,1350.0,19.0,2026-08-16,22.3,HIGH
F030,Nashik,7.5,3.0,4.0,Yes,590.0,6.0,2026-08-16,10.7,MEDIUM
F031,Amravati,7.6,3.5,4.0,Yes,520.0,5.0,2026-08-17,10.9,MEDIUM
F032,Nagpur,6.5,3.5,6.0,No,720.0,12.0,2026-08-17,18.4,HIGH
F033,Pune,8.8,2.0,4.0,Yes,950.0,4.0,2026-08-18,7.999999999999999,LOW
F034,Mumbai,5.5,7.0,4.0,No,1450.0,21.0,2026-08-18,22.7,HIGH
F035,Nashik,7.7,3.5,4.5,Yes,630.0,7.0,2026-08-19,11.700000000000001,MEDIUM
F036,Amravati,8.3,2.0,3.0,Yes,710.0,4.0,2026-08-19,7.499999999999999,LOW
F037,Nagpur,6.7,5.0,6.0,No,750.0,6.0,2026-08-20,18.5,HIGH
F039,Mumbai,5.8,6.5,7.5,No,5000.0,25.0,2026-08-21,26.2,HIGH
F040,Nashik,7.4,3.5,4.0,Yes,640.0,6.0,2026-08-21,11.299999999999999,MEDIUM
F041,Amravati,8.4,2.0,3.0,Yes,530.0,5.0,2026-08-22,7.6,LOW
F042,Nagpur,6.3,5.5,6.5,No,760.0,14.0,2026-08-22,21.5,HIGH
F043,Pune,8.9,1.8,2.5,Yes,1020.0,4.0,2026-08-23,6.199999999999999,LOW
F044,Mumbai,5.0,7.5,8.0,No,1380.0,23.0,2026-08-23,28.1,HIGH
F045,Nashik,7.6,3.2,4.2,Yes,620.0,7.0,2026-08-24,11.200000000000001,MEDIUM
F046,Amravati,8.5,2.0,3.0,Yes,450.0,4.0,2026-08-01,7.3,LOW
F047,Nagpur,7.1,4.0,5.0,Yes,680.0,9.0,2026-08-25,13.700000000000001,MEDIUM
F048,Pune,9.4,1.0,1.5,Yes,1150.0,2.0,2026-08-25,3.4999999999999996,LOW
F049,Mumbai,4.5,8.5,9.0,No,1600.0,28.0,2026-08-26,31.6,HIGH
F050,Nashik,7.8,3.0,4.0,Yes,610.0,6.0,2026-08-26,10.399999999999999,MEDIUM
